date,e,ro,smlt,tp
2000-05-07,-0.0210987207,0.00336163847,0.0,0.0003188075775
2000-05-14,-0.0192398509,0.00308252524,0.0,0.0151692512494
2000-05-21,-0.0175123144,0.00277132605,0.0,0.024481232805
2000-05-28,-0.0238299781,0.00266236496,0.0,0.038152617938
2000-06-04,-0.024784242800000002,0.00233613955,0.0,0.0191473425644
2000-06-11,-0.0285490262,0.00208836317,0.0,0.01622992546
2000-06-18,-0.0238140546,0.00189687978,0.0,0.021588887124294
2000-06-25,-0.0239751099,0.00165369058,0.0,0.0067710165415
2000-07-02,-0.0185330441,0.00152085886,0.0,0.00841726407
2000-07-09,-0.020362471,0.00176026456,0.0,0.05080227805
2000-07-16,-0.018876131,0.0021164249100000003,0.0,0.050995635819999996
2000-07-23,-0.0161377377,0.00154209771,0.0,0.02404198004
2000-07-30,-0.0187467064,0.00304328754,0.0,0.07765016920000001
2000-08-06,-0.0208961388,0.00341379976,0.0,0.04101765316
2000-08-13,-0.0212089542,0.00149221797,0.0,0.009583762797170001
2000-08-20,-0.0268175748,0.00143103957,0.0,0.0063517919
2000-08-27,-0.0173747814,0.0014140601,0.0,0.007333400269863
2000-09-03,-0.0155110139,0.00144533723,0.0,0.01581642041
2000-09-10,-0.014669428699999999,0.00141263277,0.0,0.01320404056724
2000-09-17,-0.0119620766,0.00145501399,0.0,0.022871385049999998
2000-09-24,-0.007618517700000001,0.00128770356,0.0,0.002439919739
2000-10-01,-0.011447431,0.00127083003,0.0,0.00437458575987
2000-10-08,-0.0067288144,0.00124219478,0.0,0.00980470103
2000-10-15,-0.00881678786,0.00117450543,0.0,0.0035967503445700003
2000-10-22,-0.0065061629,0.00116443895,0.0,0.005629875133260001
2000-10-29,-0.0063417807,0.00115844252,0.0,0.007808601595
2000-11-05,-0.00525145701,0.0013913820900000001,0.0,0.031969069889570004
2000-11-12,-0.0045971227,0.0011228027300000001,0.0,0.0065752080412
2000-11-19,-0.00307561833,0.0012075403,0.0,0.014701329517717
2000-11-26,-0.00302741223,0.00117722708,0.0,0.012192138390000001
2000-12-03,-0.00265195534,0.00111015848,0.0,0.003874940102
2000-12-10,-0.00160625492,0.00114028992,0.0,0.005508843723
2000-12-17,-0.00526554237,0.0012695371,0.00140144366,0.025260196000000002
2000-12-24,-0.0016305332399999999,0.00117903748,0.00042326623,0.00351205041962
2000-12-31,-0.00066717598553,0.0013559204700000001,0.0034895992386,0.02899056928
2001-01-07,-0.001784847824,0.00160118971,0.0160125095634161,0.010584552605
2001-01-14,-0.00153796144,0.0018101104,0.0007447129382683,0.02013601802
2001-01-21,-0.000951237068,0.00196233806,-9.7788873e-09,0.0005065743840000001
2001-01-28,-0.00223323091,0.0023260250900000003,0.00031341372623009994,0.00855681786
2001-02-04,-0.00201452636,0.00245797743,4.943641094e-07,0.00807469719
2001-02-11,-0.00319058434,0.0027815910499999997,0.0084275156290483,0.00652462326042
2001-02-18,-0.00311198672,0.00277570498,0.0001036733996322,0.003604907794
2001-02-25,-0.0040495194600000005,0.00291163624,0.0029694023050483,0.018444881879
2001-03-04,-0.00310748717,0.00298695308,0.0050444472580682,0.00683347650259
2001-03-11,-0.0064314685500000005,0.0029737998,0.0021824335374161,0.0043595716938
2001-03-18,-0.00702765543,0.00318087735,0.0012424397910322,0.0268687853
2001-03-25,-0.00590621873,0.0032425771,0.0013455432378,0.02360686997
2001-04-01,-0.008109971,0.00309304844,0.0001987563349732,0.00787546488745
2001-04-08,-0.0135193211,0.00323515489,-9.7788873e-09,0.01072738328526
2001-04-15,-0.01032260694,0.0033390569,0.0029202002053623,0.0225678584
2001-04-22,-0.009220450390000001,0.00372106283,0.0006821759057644,0.0363109589
2001-04-29,-0.0128887503,0.00357160864,-9.7788873e-09,0.01400580283
